ID_Uzorka,GPS_LAT,GPS_LONG,Dubina_Busenja_cm,Temp_Tla_C,pH_Vrijednost,H2O_Postotak,Metan_Senzor,Organske_Molekule
25,18.48178,77.397028,8.1,-40.5,6.14,0.61,Negativno,Ne
26,18.471489,77.387329,12.3,-40.4,7.41,3.56,Negativno,Ne
27,18.48389,77.383906,14.9,-22.9,8.13,2.54,Negativno,Ne
28,18.482429,77.395244,2.5,-59.4,6.4,5.67,Negativno,Ne
29,18.473883,77.383403,0.3,-54.0,5.91,4.2,Negativno,Ne
30,18.475323,77.384956,8.8,-29.6,6.63,1.67,Negativno,Ne
31,18.483892,77.3991,3.9,-48.8,6.77,2.79,Pozitivno,Ne
32,18.490658,77.400378,14.4,-40.4,7.66,5.99,Negativno,Ne
33,18.474742,77.397275,7.5,-47.2,6.86,4.15,Negativno,Ne
34,18.482162,77.387712,3.8,-53.7,6.77,3.43,Negativno,Ne
35,18.469993,77.402092,11.2,-71.6,5.98,3.7,Negativno,Ne
36,18.479303,77.405627,12.5,-50.7,7.07,1.0,Negativno,Ne
37,18.483339,77.400957,4.7,-55.2,6.69,2.0,Negativno,Da
38,18.48787,77.386288,10.3,-37.8,6.27,3.23,Negativno,Ne
39,18.477193,77.381499,3.2,-36.7,6.7,5.75,Negativno,Ne
40,18.469165,77.380152,1.4,-8.5,8.38,10.447998357952288,Pozitivno,Da
41,18.463376,77.385214,6.9,-56.7,7.19,0.87,Negativno,Ne
42,18.482597,77.403594,12.6,-61.7,6.57,1.87,Negativno,Ne
43,18.473333,77.406854,4.5,-48.9,7.47,4.58,Negativno,Ne
44,18.484824,77.397563,7.8,-32.9,6.87,5.73,Negativno,Ne
45,18.474472,77.399939,12.9,-65.4,6.75,2.56,Negativno,Ne
46,18.48481,77.399279,13.7,-36.8,6.74,3.64,Negativno,Da
47,18.469541,77.385088,8.0,-31.8,6.92,5.5,Negativno,Ne
48,18.477844,77.404872,9.1,-56.2,6.75,3.04,Negativno,Ne
49,18.478878,77.389131,11.6,-47.3,7.38,5.77,Negativno,Ne
50,18.481815,77.364406,8.4,-13.4,6.69,5.686087818843134,Pozitivno,Da
51,18.472561,77.410539,3.3,-47.2,7.15,1.77,Pozitivno,Ne
52,18.475965,77.388603,10.2,-41.7,7.01,1.76,Negativno,Ne
53,18.479693,77.386291,12.9,-62.2,6.84,0.25,Negativno,Ne
54,18.462474,77.37754,14.5,-57.8,7.12,5.15,Negativno,Ne
55,18.469748,77.391579,3.4,-58.2,6.2,1.1,Negativno,Ne
56,18.465254,77.391402,3.2,-50.6,6.9,1.68,Negativno,Ne
57,18.471763,77.409741,4.3,-50.1,6.72,0.51,Negativno,Ne
58,18.487649,77.38524,9.9,-62.5,6.39,1.46,Negativno,Ne
59,18.469255,77.374386,1.7,-46.5,6.76,2.73,Negativno,Ne
60,18.481228,77.405905,7.5,-72.1,6.96,5.63,Negativno,Ne
61,18.495537,77.380937,14.5,-57.8,6.5,5.43,Negativno,Ne
62,18.471065,77.402402,0.5,-51.5,7.19,1.07,Negativno,Da
63,18.470333,77.393029,12.1,-46.1,7.67,0.22,Negativno,Ne
64,18.473878,77.374083,6.9,-32.4,7.56,5.19,Negativno,Ne
65,18.473924,77.397858,4.9,-26.7,6.59,4.06,Negativno,Ne
66,18.4762,77.397139,1.9,-51.7,8.12,3.35,Negativno,Ne
67,18.492234,77.394,3.1,-37.4,7.72,0.61,Negativno,Ne
68,18.493522,77.392016,4.3,-43.8,6.24,5.37,Negativno,Ne
69,18.493832,77.396219,3.2,-52.9,7.16,3.27,Negativno,Ne
70,18.464921,77.389776,4.0,-66.8,6.28,1.82,Negativno,Ne
71,18.470579,77.40292,6.3,-47.8,6.57,5.76,Negativno,Ne
72,18.492115,77.410298,14.5,-41.9,6.74,3.2,Negativno,Ne
73,18.492584,77.3857,9.0,-63.1,7.47,1.77,Negativno,Ne
74,18.472123,77.400539,0.2,-56.7,7.15,0.89,Negativno,Ne
75,18.474012,77.384176,6.1,-25.9,6.88,2.67,Negativno,Ne
76,18.476823,77.374562,3.7,-33.7,6.68,1.26,Negativno,Ne
77,18.472456,77.392698,8.5,-67.2,7.12,3.31,Negativno,Ne
78,18.470946,77.391829,2.7,-27.5,6.17,2.24,Negativno,Ne
79,18.461179,77.388115,4.9,-44.8,7.03,1.28,Negativno,Ne
80,18.502692,77.395937,13.7,-50.0,6.99,1.39,Negativno,Ne
81,18.47635,77.388496,3.4,-50.9,7.08,1.71,Negativno,Ne
82,18.485983,77.373382,12.5,-45.9,6.42,1.25,Negativno,Ne
83,18.48277,77.375415,4.9,-29.3,7.11,2.2,Negativno,Ne
84,18.483536,77.390714,3.6,-46.3,8.07,1.8,Negativno,Ne
85,18.491123,77.390679,7.8,-73.4,7.08,3.01,Negativno,Ne
86,18.475832,77.374499,9.3,-62.8,7.1,0.32,Negativno,Ne
87,18.491581,77.396289,2.7,-70.3,6.75,1.96,Negativno,Ne
88,18.471683,77.397824,7.3,-34.3,7.05,0.15,Negativno,Ne
89,18.501957,77.393245,2.9,-58.5,6.78,0.85,Negativno,Ne
90,18.488354,77.411288,14.9,-48.4,7.53,2.66,Negativno,Ne
91,18.459755,77.382189,10.8,-54.1,8.47,3.18,Negativno,Ne
92,18.48819,77.407534,9.0,-60.7,6.41,2.21,Negativno,Ne
93,18.48688,77.389068,3.5,-9.7,6.38,1.7,Negativno,Ne
94,18.463971,77.384522,5.3,-53.9,7.32,3.35,Negativno,Ne
95,18.496142,77.397765,10.2,-46.1,6.76,1.41,Negativno,Ne
96,18.475372,77.403819,12.0,-27.7,7.11,3.85,Negativno,Ne
97,18.469207,77.380246,1.2,-7.7,6.2,6.837998357952285,Pozitivno,Da
98,18.469035,77.39979,12.3,-42.3,7.3,0.19,Negativno,Ne
99,18.469559,77.385011,13.0,-33.5,7.16,2.27,Negativno,Ne
100,18.47871,77.379954,9.0,-56.4,6.62,5.77,Negativno,Ne
101,18.476212,77.398059,1.7,-42.9,6.55,3.22,Negativno,Ne
102,18.47067,77.397338,10.3,-58.6,7.17,3.57,Negativno,Ne
103,18.492799,77.37462,6.9,-39.2,6.38,4.73,Negativno,Ne
104,18.479668,77.391419,10.8,-65.9,7.6,1.09,Negativno,Ne
105,18.470799,77.386759,8.5,-66.9,6.21,0.52,Negativno,Ne
106,18.477882,77.399997,1.0,-32.2,6.81,4.25,Negativno,Ne
107,18.481413,77.391844,4.1,-53.7,6.35,1.74,Negativno,Ne
108,18.482472,77.393642,1.4,-51.2,6.15,5.37,Negativno,Ne
109,18.47268,77.381568,12.6,-55.4,6.52,0.51,Pozitivno,Ne
110,18.482614,77.380047,5.2,-34.9,6.51,2.08,Negativno,Ne
111,18.46633,77.388261,13.1,-36.1,6.68,0.73,Negativno,Ne
112,18.467855,77.398568,11.1,-49.2,7.08,0.27,Negativno,Da
113,18.48088,77.386839,11.8,-8.7,6.71,2.05,Negativno,Ne
114,18.449934,77.386019,14.6,-31.7,6.81,1.7,Negativno,Ne
115,18.470797,77.392988,14.4,-32.3,7.08,1.51,Negativno,Ne
116,18.478059,77.390705,14.5,-54.1,6.83,1.19,Negativno,Ne
117,18.468693,77.393196,3.8,-86.2,6.09,4.47,Negativno,Ne
118,18.480692,77.392197,0.2,-48.6,6.91,5.0,Negativno,Ne
119,18.472222,77.384164,14.9,-62.2,6.98,0.51,Negativno,Ne
120,18.484517,77.38997,7.4,-24.7,6.82,0.62,Negativno,Ne
121,18.495236,77.384279,5.0,-45.7,7.04,3.89,Pozitivno,Ne
122,18.476017,77.37445,9.0,-50.1,6.46,4.52,Negativno,Ne
123,18.490389,77.38008,14.2,-41.7,6.66,3.83,Negativno,Ne
124,18.487248,77.422286,0.7,-61.7,7.61,0.58,Negativno,Ne
125,18.471901,77.378631,1.7,-45.3,7.07,0.75,Negativno,Ne
126,18.482812,77.396065,7.7,-48.2,7.0,5.85,Negativno,Ne
127,18.470984,77.400701,6.3,-50.9,7.19,1.01,Negativno,Ne
128,18.475381,77.38732,7.6,-42.2,7.97,1.99,Negativno,Ne
129,18.474988,77.392436,2.2,-68.2,7.02,2.17,Negativno,Ne
130,18.464721,77.39028,2.7,-54.6,7.45,2.12,Negativno,Ne
131,18.48663,77.386153,12.5,-61.3,7.99,1.59,Negativno,Ne
132,18.480503,77.395756,4.6,-43.2,7.93,2.16,Pozitivno,Ne
133,18.481262,77.406559,12.2,-28.0,6.95,5.88,Negativno,Ne
134,18.484173,77.395228,0.4,-37.3,7.03,3.7,Negativno,Ne
135,18.478394,77.392901,9.5,-63.5,7.01,2.41,Negativno,Ne
136,18.465007,77.390538,11.4,-60.0,6.88,5.45,Negativno,Ne
137,18.479314,77.3775,6.3,-55.3,7.08,4.14,Negativno,Da
138,18.487254,77.39356,13.2,-12.8,7.43,5.214994142660074,Pozitivno,Da
139,18.479699,77.380225,12.6,-73.0,7.65,0.79,Negativno,Ne
140,18.480403,77.389146,7.3,-54.4,6.27,1.13,Negativno,Ne
141,18.479094,77.388612,11.8,-65.3,6.14,0.32,Negativno,Ne
142,18.473593,77.40221,12.7,-74.5,7.06,5.26,Negativno,Ne
143,18.487504,77.36971,14.5,-35.1,7.48,1.86,Negativno,Ne
144,18.478464,77.384985,12.7,-36.8,7.06,5.75,Negativno,Da
145,18.477123,77.390255,9.8,-69.5,7.25,4.04,Negativno,Ne
146,18.504316,77.392237,1.0,-69.6,6.7,2.21,Negativno,Ne
147,18.481198,77.399089,9.1,-28.6,6.22,3.94,Negativno,Ne
148,18.478778,77.397537,2.1,-52.2,6.47,4.25,Negativno,Da
149,18.492831,77.390874,12.8,-66.8,7.11,5.74,Negativno,Ne
150,18.482866,77.396678,5.6,-47.6,7.32,3.36,Pozitivno,Ne
151,18.473819,77.393254,8.5,-60.4,7.0,5.72,Negativno,Ne
152,18.487395,77.391783,9.3,-53.2,6.68,4.09,Negativno,Ne
153,18.477933,77.394625,13.2,-49.3,6.81,5.55,Negativno,Ne
154,18.499517,77.390862,5.4,-44.7,7.13,4.88,Negativno,Ne
155,18.470117,77.392892,9.4,-44.2,6.6,0.43,Negativno,Ne
156,18.486822,77.39545,13.5,-37.3,6.79,5.9,Negativno,Ne
157,18.471593,77.393304,13.3,-44.2,6.92,5.44,Negativno,Ne
158,18.476275,77.382971,8.9,-61.6,7.49,5.38,Negativno,Ne
159,18.472461,77.38466,1.7,-26.7,6.48,3.26,Negativno,Ne
160,18.474998,77.396371,4.7,-65.2,7.64,5.87,Negativno,Ne
161,18.4663,77.390832,8.6,-49.6,6.57,1.38,Negativno,Ne
162,18.485028,77.390319,9.5,-25.7,5.91,2.61,Negativno,Ne
163,18.472733,77.375697,3.2,-62.6,6.87,0.8,Negativno,Ne
164,18.470918,77.381198,12.1,-43.4,7.1,3.28,Negativno,Ne
165,18.48305,77.390388,5.5,-35.1,7.09,1.3,Negativno,Ne
166,18.480876,77.396503,8.3,-56.9,6.7,3.91,Negativno,Ne
167,18.481116,77.37209,11.0,-44.9,7.48,1.79,Negativno,Ne
168,18.480532,77.380203,9.5,-20.9,7.76,4.65,Negativno,Ne
169,18.474631,77.39962,2.0,-52.7,6.65,3.31,Negativno,Ne
170,18.480965,77.399517,8.4,-40.3,7.31,2.5,Negativno,Ne
171,18.483525,77.385621,2.1,-57.9,6.29,5.4,Negativno,Ne
172,18.467067,77.390721,6.4,-51.0,7.48,0.75,Negativno,Ne
173,18.483238,77.398785,13.1,-36.6,7.08,1.69,Negativno,Ne
174,18.470469,77.392836,13.6,-32.8,7.64,1.65,Negativno,Ne
175,18.476869,77.388151,1.4,-62.5,7.36,0.96,Negativno,Ne
176,18.489415,77.368855,14.9,-44.1,6.32,0.76,Pozitivno,Ne
177,18.489475,77.399888,12.8,-68.5,7.16,1.6,Negativno,Ne
178,18.486696,77.397716,2.4,-58.5,5.98,2.43,Negativno,Ne
179,18.486877,77.391286,7.4,-41.6,6.99,5.66,Negativno,Ne
180,18.486233,77.403744,3.7,-64.1,7.0,4.56,Negativno,Ne
181,18.491375,77.383244,11.1,-38.1,6.18,5.39,Negativno,Ne
182,18.479771,77.398231,14.4,-21.6,7.81,2.35,Negativno,Ne
183,18.469662,77.396026,10.1,0.8,7.01,5.79,Negativno,Ne
184,18.478174,77.392633,14.2,-28.6,6.74,4.36,Negativno,Ne
185,18.451063,77.385624,12.2,-66.5,7.67,5.94,Negativno,Ne
186,18.472926,77.39017,7.4,-39.6,6.81,5.96,Negativno,Ne
187,18.48474,77.387047,0.2,-54.6,7.39,0.75,Negativno,Ne
188,18.483961,77.398383,10.3,-83.4,6.32,4.33,Pozitivno,Ne
189,18.48952,77.420226,9.0,-32.9,7.06,3.53,Negativno,Ne
190,18.486403,77.379646,6.2,-61.3,6.81,2.55,Negativno,Ne
191,18.482446,77.390464,12.5,-61.6,6.75,0.47,Negativno,Da
192,18.468804,77.389149,7.5,-41.6,7.52,0.14,Negativno,Ne
193,18.491765,77.388063,2.2,-65.4,6.56,5.98,Negativno,Ne
194,18.459633,77.398965,4.1,-32.5,7.06,1.07,Negativno,Ne
195,18.471332,77.397457,4.8,-66.4,6.92,5.51,Negativno,Ne
196,18.475458,77.396738,14.1,-35.7,6.8,1.81,Negativno,Ne
197,18.472242,77.385386,11.7,-52.6,7.11,4.53,Negativno,Ne
198,18.492165,77.377887,7.2,-34.6,7.16,4.38,Negativno,Ne
199,18.486673,77.378079,5.2,-71.6,6.39,1.69,Negativno,Ne
200,18.471232,77.390608,2.0,-27.1,6.65,0.4,Pozitivno,Ne
201,18.488639,77.379257,4.7,-70.2,7.09,4.28,Negativno,Ne
202,18.486659,77.375866,9.2,-39.4,6.95,5.22,Pozitivno,Ne
203,18.471847,77.401508,8.3,-59.9,7.07,1.15,Negativno,Ne
204,18.47,77.393347,14.9,-52.5,7.58,0.4,Negativno,Ne
205,18.476021,77.373985,3.8,-48.0,6.9,4.22,Pozitivno,Ne
206,18.457923,77.381632,3.8,-63.3,7.43,1.07,Pozitivno,Ne
207,18.485563,77.400026,3.7,-70.7,7.24,4.32,Negativno,Ne
208,18.482352,77.39201,12.0,-51.7,6.96,5.17,Negativno,Ne
209,18.465105,77.378397,8.8,-30.4,7.41,2.52,Negativno,Ne
210,18.480623,77.383791,14.5,-53.8,7.85,5.78,Pozitivno,Ne
211,18.469281,77.38447,8.6,-23.5,7.34,0.42,Negativno,Ne
212,18.481923,77.404727,10.7,-56.7,8.01,3.82,Pozitivno,Ne
213,18.490621,77.398904,6.3,-60.8,7.55,4.61,Negativno,Ne
214,18.486892,77.383354,0.4,-38.2,6.1,2.92,Negativno,Ne
215,18.450779,77.38272,13.4,-42.4,6.87,3.29,Negativno,Ne
216,18.472058,77.394949,11.5,-41.8,6.64,2.74,Negativno,Ne
217,18.483786,77.399339,6.5,-60.8,6.14,1.36,Negativno,Ne
218,18.477777,77.377727,12.5,-53.5,7.32,1.16,Negativno,Ne
219,18.480561,77.393925,12.1,-40.5,6.6,1.04,Negativno,Ne
220,18.469158,77.386464,12.8,-48.6,6.62,3.11,Negativno,Ne
221,18.507179,77.396654,3.7,-58.9,6.42,2.43,Negativno,Ne
222,18.47639,77.402199,10.3,-86.8,6.9,3.47,Negativno,Ne
223,18.474577,77.391799,8.6,-61.0,7.14,0.79,Negativno,Ne
224,18.472863,77.382571,2.9,-84.4,7.58,1.09,Negativno,Ne
225,18.462781,77.402089,12.5,-62.5,8.09,5.04,Negativno,Ne
226,18.478024,77.375811,10.3,-55.9,6.94,5.06,Negativno,Ne
227,18.492757,77.378722,15.0,-48.6,6.97,4.0,Negativno,Ne
228,18.464293,77.38575,2.8,-71.8,7.29,5.77,Negativno,Ne
229,18.47829,77.378731,1.7,-26.8,7.23,5.63,Negativno,Ne
230,18.476248,77.389793,3.2,-32.2,7.26,4.39,Negativno,Ne
231,18.468725,77.375225,4.9,-45.6,7.07,3.09,Negativno,Ne
232,18.479692,77.395851,11.2,-63.5,7.31,0.64,Negativno,Ne
233,18.480633,77.403837,4.7,-37.9,7.04,5.37,Negativno,Ne
234,18.47346,77.388511,11.0,-62.6,7.42,2.62,Negativno,Ne
235,18.476789,77.40076,5.6,-44.3,6.62,5.81,Negativno,Da
236,18.485497,77.418163,8.8,-22.9,7.43,0.85,Negativno,Ne
237,18.479271,77.386864,6.0,-84.2,6.96,1.21,Negativno,Ne
238,18.473699,77.396801,5.9,-55.7,7.35,2.27,Negativno,Ne
239,18.472877,77.376744,1.5,-45.7,7.17,4.38,Negativno,Ne
240,18.484055,77.378268,6.2,-28.2,7.94,0.25,Negativno,Ne
241,18.478902,77.391171,5.6,-36.7,7.71,0.49,Negativno,Ne
242,18.499759,77.396482,2.9,-42.2,8.12,1.52,Negativno,Ne
243,18.483197,77.399714,1.8,-57.6,6.75,4.43,Negativno,Ne
244,18.494445,77.408102,15.0,-75.7,6.61,2.71,Pozitivno,Ne
245,18.466588,77.389241,9.4,-43.3,7.2,0.11,Negativno,Ne
246,18.466116,77.383457,2.7,-64.9,6.82,1.85,Negativno,Ne
247,18.480742,77.404811,6.4,-64.6,6.97,1.59,Negativno,Ne
248,18.468063,77.392879,13.0,-63.4,7.1,5.21,Negativno,Ne
249,18.496933,77.391966,7.8,-55.1,7.49,0.9,Negativno,Ne
250,18.478513,77.377062,1.2,-61.5,6.81,2.32,Negativno,Ne
251,18.465711,77.384482,4.0,-32.8,7.64,3.31,Negativno,Ne
252,18.478096,77.404258,7.1,-43.6,6.48,3.1,Negativno,Ne
253,18.48737,77.416053,4.6,-61.3,6.41,4.23,Negativno,Ne
254,18.468551,77.396103,1.7,-46.9,6.85,2.23,Negativno,Ne
255,18.469523,77.383528,12.8,-58.4,6.21,2.67,Negativno,Ne
256,18.492937,77.38466,4.0,-46.5,7.02,1.88,Negativno,Ne
257,18.473607,77.396095,9.8,-34.4,7.43,1.39,Negativno,Ne
258,18.467177,77.388258,6.0,-79.3,6.94,0.31,Negativno,Ne
259,18.478289,77.400744,10.4,-49.2,6.99,4.12,Negativno,Ne
260,18.471709,77.380329,2.7,-27.5,6.21,0.56,Negativno,Ne
261,18.479789,77.390576,9.7,-53.3,7.29,2.75,Negativno,Ne
262,18.489464,77.38115,12.2,-84.1,6.83,5.93,Pozitivno,Ne
263,18.448291,77.381393,9.1,-45.2,6.75,5.98,Negativno,Ne
264,18.49739,77.378996,12.1,-53.5,6.67,2.99,Negativno,Ne
265,18.478828,77.389565,7.2,-68.2,6.95,3.21,Negativno,Ne
266,18.490876,77.376302,13.1,-34.2,6.76,0.64,Negativno,Ne
267,18.459483,77.386166,1.6,-57.3,7.19,0.56,Negativno,Ne
268,18.489508,77.399284,12.4,-83.0,7.0,3.0,Negativno,Ne
269,18.486085,77.386941,13.6,-40.5,6.64,3.12,Negativno,Ne
270,18.472495,77.376908,13.7,-46.5,7.33,5.02,Negativno,Ne
271,18.479205,77.410016,7.9,-30.4,6.46,3.07,Pozitivno,Ne
272,18.475557,77.385214,3.1,-36.3,7.11,5.43,Negativno,Ne
273,18.488091,77.378802,7.6,-44.3,6.28,4.07,Negativno,Ne
274,18.491648,77.391849,1.0,-33.7,7.15,5.43,Negativno,Ne
275,18.512424,77.404479,5.0,-38.3,7.36,1.27,Negativno,Ne
276,18.486366,77.399146,6.5,-28.1,7.69,3.03,Negativno,Ne
277,18.471984,77.386113,5.6,-63.1,7.11,3.84,Negativno,Ne
278,18.488234,77.38091,7.5,-51.8,6.45,5.27,Negativno,Ne
279,18.481083,77.377465,7.2,-57.4,7.29,2.33,Pozitivno,Ne
280,18.470339,77.382525,5.0,-40.7,7.61,5.3,Negativno,Ne
281,18.493494,77.383112,11.5,-62.5,6.52,4.94,Negativno,Ne
282,18.47436,77.385892,8.7,-75.9,6.96,4.7,Negativno,Ne
283,18.475466,77.384974,11.2,-53.3,6.87,5.5,Negativno,Ne
284,18.483483,77.398141,3.9,-39.3,6.81,1.64,Negativno,Ne
285,18.479931,77.374273,13.8,-42.4,6.36,1.93,Negativno,Ne
286,18.462846,77.382343,5.5,-47.5,6.61,4.61,Negativno,Ne
287,18.480857,77.393905,2.8,-36.1,8.25,4.57,Negativno,Da
288,18.470779,77.381538,10.6,-16.4,7.6,10.287998357952286,Pozitivno,Da
289,18.479089,77.398539,3.2,-42.2,7.27,4.3,Negativno,Ne
290,18.472793,77.399061,0.1,-28.4,7.18,1.11,Negativno,Ne
291,18.488799,77.391673,13.1,-61.6,7.65,3.36,Negativno,Ne
292,18.493942,77.409592,4.1,-52.5,7.19,0.13,Negativno,Ne
293,18.460062,77.401474,10.4,-17.6,6.7,5.43,Negativno,Ne
294,18.490876,77.388939,14.0,-81.9,6.15,4.23,Negativno,Ne
295,18.489606,77.380359,14.8,-65.7,6.07,1.21,Negativno,Ne
296,18.476353,77.388106,14.0,-49.6,7.2,4.96,Negativno,Ne
297,18.480772,77.394749,4.5,-41.0,7.53,4.54,Negativno,Ne
298,18.484173,77.403227,1.7,-65.7,6.7,3.32,Negativno,Ne
299,18.478349,77.40069,8.4,-31.9,6.64,0.56,Negativno,Ne
300,18.486229,77.388372,13.9,-49.5,7.01,1.72,Negativno,Da
301,18.479627,77.401773,6.7,-67.9,6.98,1.15,Negativno,Ne
302,18.477807,77.392479,5.8,-60.6,6.39,4.62,Negativno,Ne
303,18.483193,77.395183,10.5,-48.9,7.03,1.88,Negativno,Da
304,18.502586,77.391099,4.3,-57.7,7.39,0.15,Negativno,Ne
305,18.469591,77.403046,10.5,-46.1,7.31,3.42,Negativno,Ne
306,18.49942,77.375314,6.0,-65.5,7.15,3.18,Negativno,Ne
307,18.503432,77.404103,4.0,-50.3,7.82,2.8,Pozitivno,Ne
308,18.490194,77.388393,14.0,-48.4,7.54,3.27,Negativno,Da
309,18.48399,77.382991,2.0,-51.1,7.94,2.58,Negativno,Ne
310,18.475592,77.384462,6.9,-33.8,6.81,0.65,Negativno,Ne
311,18.491813,77.382302,1.8,-65.6,7.35,1.46,Negativno,Ne
312,18.472215,77.394693,5.7,-61.3,6.34,3.31,Negativno,Ne
313,18.481427,77.389366,9.5,-57.9,6.7,0.2,Negativno,Ne
314,18.468004,77.381553,1.2,-15.6,6.82,10.287998357952286,Pozitivno,Da
315,18.490412,77.397753,11.2,-55.9,7.46,3.43,Negativno,Ne
316,18.473825,77.389751,13.1,-72.3,6.57,4.25,Negativno,Ne
317,18.486705,77.38963,5.5,-62.7,6.95,3.26,Negativno,Ne
318,18.483919,77.383906,14.8,-55.2,6.54,1.73,Negativno,Ne
319,18.476869,77.402023,11.3,-59.8,6.82,4.64,Negativno,Ne
320,18.479764,77.393913,1.7,-59.8,6.85,2.65,Negativno,Ne
321,18.475483,77.391554,7.8,-83.3,6.82,2.1,Negativno,Ne
322,18.480885,77.367177,9.7,-49.9,7.01,2.66,Negativno,Ne
323,18.486552,77.391947,8.2,-40.8,6.62,0.26,Negativno,Ne
324,18.470626,77.388983,2.0,-34.8,7.24,4.57,Negativno,Ne
325,18.466769,77.393861,7.4,-36.6,7.18,3.55,Negativno,Ne
326,18.463918,77.375192,10.9,-54.1,7.54,3.69,Negativno,Ne
327,18.475858,77.394253,5.3,-61.0,7.56,0.36,Negativno,Ne
328,18.491311,77.37733,14.6,-27.9,6.85,3.69,Negativno,Ne
329,18.482574,77.373666,13.2,-53.1,6.99,4.28,Negativno,Ne
330,18.479493,77.377357,7.0,-31.1,6.93,4.93,Negativno,Ne
331,18.47573,77.384905,9.9,-72.2,6.35,0.83,Negativno,Ne
332,18.481351,77.369683,12.0,-51.9,7.31,5.36,Negativno,Ne
333,18.476858,77.412577,1.7,-62.3,6.63,3.79,Negativno,Ne
334,18.496806,77.366836,1.4,-61.9,7.37,4.62,Pozitivno,Ne
335,18.486014,77.387362,0.9,-39.0,6.6,5.79,Negativno,Ne
336,18.502241,77.368738,3.3,-26.1,7.55,3.63,Negativno,Ne
337,18.469861,77.393052,14.6,-46.2,7.46,0.45,Negativno,Da
338,18.486962,77.392859,4.3,-13.6,6.07,8.384994142660073,Pozitivno,Da
339,18.487553,77.375472,9.6,-55.9,6.5,1.29,Negativno,Ne
340,18.468112,77.389796,11.2,-61.4,8.11,3.22,Negativno,Ne
341,18.484284,77.402833,10.9,-42.0,7.7,5.75,Negativno,Ne
342,18.484831,77.39653,12.9,-65.3,6.92,3.7,Negativno,Ne
343,18.483979,77.383904,6.9,-38.8,6.29,4.18,Negativno,Ne
344,18.488481,77.395013,3.7,-13.6,7.44,6.874994142660074,Pozitivno,Da
345,18.468014,77.371334,6.9,-36.0,6.72,2.86,Negativno,Ne
346,18.476796,77.38012,13.8,-31.7,5.97,1.34,Negativno,Ne
347,18.464611,77.387848,13.8,-46.8,6.33,1.12,Negativno,Ne
348,18.457241,77.393958,11.1,-47.2,6.76,3.4,Negativno,Ne
349,18.4747,77.399761,6.2,-60.1,7.01,1.45,Negativno,Ne
350,18.475337,77.390547,13.9,-28.7,7.25,5.88,Negativno,Ne
351,18.472644,77.363461,9.7,-64.8,6.35,4.15,Negativno,Ne
352,18.463832,77.39378,12.2,-25.0,6.23,0.25,Negativno,Ne
353,18.483942,77.398637,5.3,-64.5,7.47,2.68,Negativno,Ne
354,18.485661,77.372792,2.9,-42.1,6.7,1.33,Negativno,Ne
355,18.479952,77.403522,14.5,-37.0,6.66,0.57,Negativno,Ne
356,18.480945,77.410027,7.8,-47.0,6.84,4.13,Negativno,Ne
357,18.462357,77.390603,2.4,-63.2,6.44,5.52,Negativno,Ne
358,18.480956,77.386477,5.6,-35.4,6.56,2.38,Negativno,Ne
359,18.491858,77.380079,1.5,-50.6,6.89,2.61,Negativno,Ne
360,18.488731,77.399953,2.8,-59.9,7.17,3.58,Negativno,Ne
361,18.47412,77.383829,1.1,-47.6,5.63,3.2,Negativno,Ne
362,18.473507,77.392108,5.2,-59.5,6.37,4.46,Negativno,Ne
